table,column,dtype,missing,missing_pct,unique
players_info,id,int64,0,0.0,2843
players_info,player_name,str,0,0.0,2826
players_info,player_full_name,str,0,0.0,2843
players_info,first_name,str,0,0.0,742
players_info,last_name,str,0,0.0,1998
players_info,born_date,str,0,0.0,2546
players_info,debut_date,str,0,0.0,1610
players_info,debut_age,int64,0,0.0,14
players_info,last_date,str,0,0.0,1305
players_info,last_age,int64,0,0.0,22
players_info,height,int64,0,0.0,44
players_info,weight,int64,0,0.0,54
players_info,profile_pic,str,2211,77.63,636
players_info,player_link,str,0,0.0,2843
players_info,player_common_names,str,2773,97.37,75
players_info,player_teams,str,94,3.3,309
player_round,id,int64,0,0.0,274079
player_round,team,str,0,0.0,20
player_round,year,int64,0,0.0,43
player_round,career_game_count,int64,0,0.0,432
player_round,opponent,str,0,0.0,20
player_round,round,str,0,0.0,30
player_round,result,str,0,0.0,3
player_round,jersey_num,int64,0,0.0,60
player_round,kicks,float64,1300,0.47,38
player_round,marks,float64,8051,2.94,25
player_round,handballs,float64,4433,1.62,36
player_round,disposals,float64,8453,3.08,59
player_round,goals,float64,74737,27.27,17
player_round,behinds,float64,81093,29.59,11
player_round,hit_outs,float64,96629,35.25,73
player_round,tackles,float64,28682,10.46,21
player_round,rebound_50s,float64,62856,22.93,19
player_round,inside_50s,float64,46574,16.99,17
player_round,clearances,float64,63919,23.32,22
player_round,clangers,float64,49965,18.23,16
player_round,free_kicks_for,float64,53842,19.64,11
player_round,free_kicks_against,float64,53275,19.44,11
player_round,brownlow_votes,float64,110481,40.31,4
player_round,contested_possessions,float64,38826,14.17,31
player_round,uncontested_possessions,float64,37998,13.86,42
player_round,contested_marks,float64,90677,33.08,11
player_round,marks_inside_50,float64,91378,33.34,15
player_round,one_percenters,float64,60146,21.94,24
player_round,bounces,float64,97343,35.52,21
player_round,goal_assist,float64,103600,37.8,9
player_round,percentage_of_game_played,float64,69682,25.42,100
player_round,player_id,int64,0,0.0,3109
player_round,match_date,str,0,0.0,3276
player_round,fantasy_points,int64,0,0.0,210
player_round,score,float64,274089,100.0,0
player_round,margin,int64,0,0.0,303
player_season,player_id,str,0,0.0,3117
player_season,year,int64,0,0.0,43
player_season,team,str,0,0.0,114
player_season,is_finals,bool,0,0.0,2
player_season,games_played,int64,0,0.0,27
player_season,kicks,float64,52,0.2,433
player_season,marks,float64,185,0.73,207
player_season,handballs,float64,113,0.44,393
player_season,disposals,float64,24,0.09,695
player_season,goals,float64,2537,9.95,103
player_season,behinds,float64,2689,10.55,62
player_season,hit_outs,float64,5706,22.38,556
player_season,tackles,float64,511,2.0,182
player_season,rebound_50s,float64,3533,13.86,164
player_season,inside_50s,float64,2971,11.66,150
player_season,clearances,float64,3435,13.48,182
player_season,clangers,float64,2938,11.53,120
player_season,free_kicks_for,float64,1073,4.21,67
player_season,free_kicks_against,float64,978,3.84,64
player_season,brownlow_votes,float64,6997,27.45,40
player_season,contested_possessions,float64,3336,13.09,341
player_season,uncontested_possessions,float64,3322,13.03,451
player_season,contested_marks,float64,4925,19.32,71
player_season,marks_inside_50,float64,5165,20.26,105
player_season,one_percenters,float64,3643,14.29,202
player_season,bounces,float64,5654,22.18,100
player_season,goal_assists,float64,7092,27.82,37
player_season,total_score,int64,0,0.0,475
player_season,total_fantasy_points,int64,0,0.0,2394
player_season,total_percentage_played,float64,6246,24.5,2194
player_season,avg_kicks,float64,52,0.2,218
player_season,avg_marks,float64,185,0.73,111
player_season,avg_handballs,float64,113,0.44,204
player_season,avg_disposals,float64,24,0.09,329
player_season,avg_goals,float64,2537,9.95,65
player_season,avg_behinds,float64,2689,10.55,40
player_season,avg_hit_outs,float64,5706,22.38,389
player_season,avg_tackles,float64,511,2.0,102
player_season,avg_rebound_50s,float64,3533,13.86,92
player_season,avg_inside_50s,float64,2971,11.66,83
player_season,avg_clearances,float64,3435,13.48,98
player_season,avg_clangers,float64,2938,11.53,70
player_season,avg_free_kicks_for,float64,1073,4.21,42
player_season,avg_free_kicks_against,float64,978,3.84,45
player_season,avg_contested_possessions,float64,3336,13.09,179
player_season,avg_uncontested_possessions,float64,3322,13.03,226
player_season,avg_contested_marks,float64,4925,19.32,47
player_season,avg_marks_inside_50,float64,5165,20.26,60
player_season,avg_one_percenters,float64,3643,14.29,120
player_season,avg_bounces,float64,5654,22.18,68
player_season,avg_goal_assists,float64,7092,27.82,28
player_season,avg_score,float64,0,0.0,295
player_season,avg_fantasy_points,float64,0,0.0,1090
player_season,avg_percentage_played,float64,6246,24.5,677
matches,id,int64,0,0.0,15808
matches,team_name,str,0,0.0,40
matches,round,str,0,0.0,30
matches,match_date,str,0,0.0,3347
matches,year,int64,0,0.0,43
matches,home_away,str,0,0.0,2
matches,opponent,str,0,0.0,40
matches,team_quarter_scores,str,0,0.0,15750
matches,team_score,int64,0,0.0,204
matches,opponent_quarter_scores,str,0,0.0,15750
matches,opponent_score,int64,0,0.0,204
matches,result,str,0,0.0,3
matches,margin,int64,0,0.0,307
matches,venue,str,0,0.0,64
matches,crowd,float64,398,2.52,7147
matches,team_goals_kicked,int64,0,0.0,37
matches,team_behinds,int64,0,0.0,31
matches,opponent_goals_kicked,int64,0,0.0,37
matches,opponent_behinds,int64,0,0.0,31
