table,column,min,q1,median,q3,max,iqr_outliers
player_round,marks,0.0,2.0,4.0,6.0,24.0,1409
player_round,disposals,-5.0,10.0,14.0,20.0,54.0,1658
player_round,goals,0.0,0.0,0.0,1.0,16.0,16212
player_round,tackles,0.0,1.0,2.0,4.0,20.0,4114
player_round,clearances,0.0,0.0,1.0,3.0,22.0,5779
player_round,contested_marks,0.0,0.0,0.0,1.0,10.0,8778
player_round,marks_inside_50,0.0,0.0,0.0,1.0,14.0,13273
player_round,goal_assist,0.0,0.0,0.0,1.0,10.0,2806
player_round,fantasy_points,-10.0,45.0,64.0,84.0,210.0,1375
player_season,marks,0.0,9.0,31.0,70.0,226.0,133
player_season,disposals,0.0,34.0,114.0,268.0,787.0,155
player_season,goals,0.0,1.0,3.0,9.0,123.0,1950
player_season,tackles,0.0,6.0,17.0,38.0,205.0,982
player_season,clearances,0.0,2.0,7.0,21.0,216.0,2417
player_season,contested_marks,0.0,1.0,3.0,7.0,85.0,1846
player_season,marks_inside_50,0.0,1.0,2.0,7.0,115.0,2085
player_season,goal_assists,0.0,1.0,2.0,6.0,41.0,1237
player_season,total_score,0.0,1.0,16.0,54.0,792.0,2198
player_season,total_fantasy_points,-6.0,151.0,504.0,1176.0,2842.0,3
player_season,avg_marks,0.0,2.6,3.6,4.7,12.5,398
player_season,avg_disposals,0.0,10.0,13.3,17.5,39.0,276
player_season,avg_goals,0.0,0.1,0.7,1.3,9.0,341
player_season,avg_tackles,0.0,1.6,2.2,3.0,14.0,1141
player_season,avg_clearances,0.0,0.5,1.2,2.3,13.0,948
player_season,avg_contested_marks,0.0,0.1,0.5,1.0,6.0,406
player_season,avg_marks_inside_50,0.0,0.0,0.5,1.0,8.0,747
player_season,avg_goal_assists,0.0,0.0,0.3,0.8,4.0,54
player_season,avg_score,0.0,0.4,2.3,5.2,59.0,1228
player_season,avg_fantasy_points,-6.0,45.0,58.7,73.8,149.0,153
matches,team_score,13.0,71.0,90.0,110.0,239.0,193
matches,opponent_score,13.0,71.0,90.0,110.0,239.0,193
matches,team_goals_kicked,1.0,10.0,13.0,16.0,37.0,199
matches,opponent_goals_kicked,1.0,10.0,13.0,16.0,37.0,199
