id,team_name,round,match_date,year,home_away,opponent,team_quarter_scores,team_score,opponent_quarter_scores,opponent_score,result,margin,venue,crowd,team_goals_kicked,team_behinds,opponent_goals_kicked,opponent_behinds,home_team,away_team,_home_score,_away_score,_date,match_margin,match_result,home_win,_match_key,home_win_rate_l3,home_win_rate_l5,home_score_for_avg_l3,home_score_for_avg_l5,home_score_against_avg_l3,home_score_against_avg_l5,home_win_streak,home_days_rest,away_win_rate_l3,away_win_rate_l5,away_score_for_avg_l3,away_score_for_avg_l5,away_score_against_avg_l3,away_score_against_avg_l5,away_win_streak,away_days_rest,h2h_home_win_rate,h2h_away_win_rate,h2h_draw_rate,h2h_meetings,form_diff_l3,score_form_diff_l3,form_diff_l5,score_form_diff_l5,feature_version
12327,Geelong Cats,1,1983-03-26,1983,H,Western Bulldogs,3.2 5.10 8.14 15.16,106,3.2 5.3 9.8 11.9,75,W,31,Waverley Park,18377.0,15,16,11,9,Geelong Cats,Western Bulldogs,106,75,1983-03-26,31,HOME_WIN,1,10191,,,,,,,0,,,,,,,,0,,,,,0,,,,,week3_day1_v1
13514,Melbourne Demons,1,1983-03-26,1983,H,Collingwood Magpies,6.2 12.3 17.7 19.11,125,5.7 9.10 15.12 20.15,135,L,-10,Melbourne Cricket Ground,72274.0,19,11,20,15,Melbourne Demons,Collingwood Magpies,125,135,1983-03-26,-10,AWAY_WIN,0,11112,,,,,,,0,,,,,,,,0,,,,,0,,,,,week3_day1_v1
11905,Fitzroy Lions,1,1983-03-26,1983,H,hawthorn hawks,1.4 5.10 10.12 16.16,112,6.3 12.4 17.8 20.11,131,L,-19,Junction Oval,15626.0,16,16,20,11,Fitzroy Lions,hawthorn hawks,112,131,1983-03-26,-19,AWAY_WIN,0,15225,,,,,,,0,,,,,,,,0,,,,,0,,,,,week3_day1_v1
13120,North Melbourne Kangaroos,1,1983-03-26,1983,H,st kilda saints,3.3 6.7 8.11 14.16,100,4.2 8.5 11.11 12.15,87,W,13,Aegis Park,18496.0,14,16,12,15,North Melbourne Kangaroos,st kilda saints,100,87,1983-03-26,13,HOME_WIN,1,15388,,,,,,,0,,,,,,,,0,,,,,0,,,,,week3_day1_v1
10722,Carlton Blues,1,1983-03-26,1983,H,Richmond Tigers,4.0 8.6 13.9 20.16,136,4.3 7.4 10.9 11.10,76,W,60,Princes Park,28498.0,20,16,11,10,Carlton Blues,Richmond Tigers,136,76,1983-03-26,60,HOME_WIN,1,8191,,,,,,,0,,,,,,,,0,,,,,0,,,,,week3_day1_v1
14727,Sydney Swans,1,1983-03-27,1983,H,Essendon Bombers,8.2 10.4 14.7 17.9,111,0.2 7.9 12.15 15.20,110,W,1,Sydney Cricket Ground,11916.0,17,9,15,20,Sydney Swans,Essendon Bombers,111,110,1983-03-27,1,HOME_WIN,1,12087,,,,,,,0,,,,,,,,0,,,,,0,,,,,week3_day1_v1
13973,	Richmond Tigers,2,1983-04-02,1983,H,Melbourne Demons,3.2 5.6 10.9 15.10,100,2.1 10.5 12.8 18.11,119,L,-19,Melbourne Cricket Ground,41889.0,15,10,18,11,	Richmond Tigers,Melbourne Demons,100,119,1983-04-02,-19,AWAY_WIN,0,11470,,,,,,,0,,0.0,0.0,125.0,125.0,135.0,135.0,0,7.0,,,,0,,,,,week3_day1_v1
15421,W. Bulldogs,2,1983-04-02,1983,H,Carlton Blues,3.2 9.9 12.12 14.15,99,6.4 7.8 11.10 12.10,82,W,17,Western Oval,20414.0,14,15,12,10,W. Bulldogs,Carlton Blues,99,82,1983-04-02,17,HOME_WIN,1,12589,,,,,,,0,,1.0,1.0,136.0,136.0,76.0,76.0,1,7.0,,,,0,,,,,week3_day1_v1
11121,Collingwood Magpies,2,1983-04-02,1983,H,Geelong Cats,2.3 5.5 9.9 14.12,96,7.2 9.5 12.9 15.11,101,L,-5,Victoria Park,34751.0,14,12,15,11,Collingwood Magpies,Geelong Cats,96,101,1983-04-02,-5,AWAY_WIN,0,9233,1.0,1.0,135.0,135.0,125.0,125.0,1,7.0,1.0,1.0,106.0,106.0,75.0,75.0,1,7.0,,,,0,0.0,29.0,0.0,29.0,week3_day1_v1
12721,Hawthorn Hawks,2,1983-04-04,1983,H,Sydney Swans,2.6 5.11 8.15 9.16,70,3.3 3.7 5.10 5.15,45,W,25,Princes Park,16295.0,9,16,5,15,Hawthorn Hawks,Sydney Swans,70,45,1983-04-04,25,HOME_WIN,1,10496,,,,,,,0,,1.0,1.0,111.0,111.0,110.0,110.0,1,8.0,,,,0,,,,,week3_day1_v1
