feature,importance,model
num__form_diff_l5,0.30557753847497926,GradientBoosting
num__home_score_against_avg_l5,0.1573258269835106,GradientBoosting
num__score_form_diff_l5,0.14284303182178795,GradientBoosting
num__away_score_against_avg_l5,0.08871780286410882,GradientBoosting
num__form_diff_l3,0.06593618180491784,GradientBoosting
num__home_score_against_avg_l3,0.03513647649371793,GradientBoosting
num__away_days_rest,0.03322772814566972,GradientBoosting
num__away_score_against_avg_l3,0.025816032630035627,GradientBoosting
num__h2h_away_win_rate,0.020962537433909714,GradientBoosting
num__away_score_for_avg_l5,0.019764495376179077,GradientBoosting
num__away_score_for_avg_l3,0.01945768762424381,GradientBoosting
num__home_days_rest,0.017528759526671267,GradientBoosting
num__home_score_for_avg_l5,0.01334717053199207,GradientBoosting
num__h2h_home_win_rate,0.012291913227415872,GradientBoosting
num__h2h_meetings,0.010561324386695554,GradientBoosting
num__home_score_for_avg_l3,0.010042913383529558,GradientBoosting
num__score_form_diff_l3,0.006788691569524608,GradientBoosting
num__away_win_rate_l5,0.004191153314155388,GradientBoosting
num__home_win_streak,0.0034851741917641464,GradientBoosting
num__h2h_draw_rate,0.0031871786936157366,GradientBoosting
num__home_win_rate_l5,0.002216064272697912,GradientBoosting
num__away_win_streak,0.0015413264237890013,GradientBoosting
num__away_win_rate_l3,3.9628775462142485e-05,GradientBoosting
num__home_win_rate_l3,1.3362049626330115e-05,GradientBoosting
