feature,importance,model,stat
disposals_avg_l5,0.8667593835267879,RandomForestRegressor,disposals
fantasy_points_avg_l5,0.017095380544505344,RandomForestRegressor,disposals
disposals_avg_l3,0.013900691261148873,RandomForestRegressor,disposals
marks_avg_l5,0.01354609294211288,RandomForestRegressor,disposals
fantasy_points_avg_l3,0.012881827696416815,RandomForestRegressor,disposals
tackles_avg_l5,0.011949806507369912,RandomForestRegressor,disposals
handballs_avg_l5,0.010102001982525243,RandomForestRegressor,disposals
kicks_avg_l5,0.010091984619759015,RandomForestRegressor,disposals
kicks_avg_l3,0.00875203903672133,RandomForestRegressor,disposals
handballs_avg_l3,0.008017565391133538,RandomForestRegressor,disposals
tackles_avg_l3,0.007803911801786989,RandomForestRegressor,disposals
marks_avg_l3,0.007542873355030045,RandomForestRegressor,disposals
goals_avg_l5,0.006690875669488846,RandomForestRegressor,disposals
goals_avg_l3,0.0048655656652133485,RandomForestRegressor,disposals
